datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,AEP,16172
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,AEP,15968
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,AEP,15749
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,AEP,15727
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,AEP,15710
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,AEP,15937
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,AEP,16239
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,AEP,16573
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,AEP,16600
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,AEP,16439
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,1/1/2015 4:00:00 PM,1/1/2015 11:00:00 AM,AEP,16306
1/1/2015 4:00:00 PM,1/1/2015 11:00:00 AM,1/1/2015 5:00:00 PM,1/1/2015 12:00:00 PM,AEP,16064
1/1/2015 5:00:00 PM,1/1/2015 12:00:00 PM,1/1/2015 6:00:00 PM,1/1/2015 1:00:00 PM,AEP,15760
1/1/2015 6:00:00 PM,1/1/2015 1:00:00 PM,1/1/2015 7:00:00 PM,1/1/2015 2:00:00 PM,AEP,15511
1/1/2015 7:00:00 PM,1/1/2015 2:00:00 PM,1/1/2015 8:00:00 PM,1/1/2015 3:00:00 PM,AEP,15124
1/1/2015 8:00:00 PM,1/1/2015 3:00:00 PM,1/1/2015 9:00:00 PM,1/1/2015 4:00:00 PM,AEP,15000
1/1/2015 9:00:00 PM,1/1/2015 4:00:00 PM,1/1/2015 10:00:00 PM,1/1/2015 5:00:00 PM,AEP,15365
1/1/2015 10:00:00 PM,1/1/2015 5:00:00 PM,1/1/2015 11:00:00 PM,1/1/2015 6:00:00 PM,AEP,16413
1/1/2015 11:00:00 PM,1/1/2015 6:00:00 PM,1/2/2015 12:00:00 AM,1/1/2015 7:00:00 PM,AEP,16662
1/2/2015 12:00:00 AM,1/1/2015 7:00:00 PM,1/2/2015 1:00:00 AM,1/1/2015 8:00:00 PM,AEP,16586
1/2/2015 1:00:00 AM,1/1/2015 8:00:00 PM,1/2/2015 2:00:00 AM,1/1/2015 9:00:00 PM,AEP,16312
1/2/2015 2:00:00 AM,1/1/2015 9:00:00 PM,1/2/2015 3:00:00 AM,1/1/2015 10:00:00 PM,AEP,15859
1/2/2015 3:00:00 AM,1/1/2015 10:00:00 PM,1/2/2015 4:00:00 AM,1/1/2015 11:00:00 PM,AEP,15195
1/2/2015 4:00:00 AM,1/1/2015 11:00:00 PM,1/2/2015 5:00:00 AM,1/2/2015 12:00:00 AM,AEP,14722
1/2/2015 5:00:00 AM,1/2/2015 12:00:00 AM,1/2/2015 6:00:00 AM,1/2/2015 1:00:00 AM,AEP,14338
1/2/2015 6:00:00 AM,1/2/2015 1:00:00 AM,1/2/2015 7:00:00 AM,1/2/2015 2:00:00 AM,AEP,14123
1/2/2015 7:00:00 AM,1/2/2015 2:00:00 AM,1/2/2015 8:00:00 AM,1/2/2015 3:00:00 AM,AEP,13981
1/2/2015 8:00:00 AM,1/2/2015 3:00:00 AM,1/2/2015 9:00:00 AM,1/2/2015 4:00:00 AM,AEP,13822
1/2/2015 9:00:00 AM,1/2/2015 4:00:00 AM,1/2/2015 10:00:00 AM,1/2/2015 5:00:00 AM,AEP,14111
1/2/2015 10:00:00 AM,1/2/2015 5:00:00 AM,1/2/2015 11:00:00 AM,1/2/2015 6:00:00 AM,AEP,14627
1/2/2015 11:00:00 AM,1/2/2015 6:00:00 AM,1/2/2015 12:00:00 PM,1/2/2015 7:00:00 AM,AEP,15440
1/2/2015 12:00:00 PM,1/2/2015 7:00:00 AM,1/2/2015 1:00:00 PM,1/2/2015 8:00:00 AM,AEP,16133
1/2/2015 1:00:00 PM,1/2/2015 8:00:00 AM,1/2/2015 2:00:00 PM,1/2/2015 9:00:00 AM,AEP,16422
1/2/2015 2:00:00 PM,1/2/2015 9:00:00 AM,1/2/2015 3:00:00 PM,1/2/2015 10:00:00 AM,AEP,16395
1/2/2015 3:00:00 PM,1/2/2015 10:00:00 AM,1/2/2015 4:00:00 PM,1/2/2015 11:00:00 AM,AEP,16238
1/2/2015 4:00:00 PM,1/2/2015 11:00:00 AM,1/2/2015 5:00:00 PM,1/2/2015 12:00:00 PM,AEP,16294
1/2/2015 5:00:00 PM,1/2/2015 12:00:00 PM,1/2/2015 6:00:00 PM,1/2/2015 1:00:00 PM,AEP,16008
1/2/2015 6:00:00 PM,1/2/2015 1:00:00 PM,1/2/2015 7:00:00 PM,1/2/2015 2:00:00 PM,AEP,15816
1/2/2015 7:00:00 PM,1/2/2015 2:00:00 PM,1/2/2015 8:00:00 PM,1/2/2015 3:00:00 PM,AEP,15563
1/2/2015 8:00:00 PM,1/2/2015 3:00:00 PM,1/2/2015 9:00:00 PM,1/2/2015 4:00:00 PM,AEP,15400
1/2/2015 9:00:00 PM,1/2/2015 4:00:00 PM,1/2/2015 10:00:00 PM,1/2/2015 5:00:00 PM,AEP,15607
1/2/2015 10:00:00 PM,1/2/2015 5:00:00 PM,1/2/2015 11:00:00 PM,1/2/2015 6:00:00 PM,AEP,16460
1/2/2015 11:00:00 PM,1/2/2015 6:00:00 PM,1/3/2015 12:00:00 AM,1/2/2015 7:00:00 PM,AEP,16662
