datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,AEP,11143
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,AEP,10930
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,AEP,10739
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,AEP,10706
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,AEP,10759
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,AEP,10924
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,AEP,11099
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,AEP,11264
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,AEP,11535
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,AEP,11819
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,AEP,12169
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,AEP,12377
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,AEP,12504
1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,1/1/2022 7:00:00 PM,1/1/2022 2:00:00 PM,AEP,12552
1/1/2022 7:00:00 PM,1/1/2022 2:00:00 PM,1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,AEP,12471
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,AEP,12491
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,AEP,12739
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,AEP,13117
