datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,1/1/2012 6:00:00 AM,1/1/2012 1:00:00 AM,AEP,13812
1/1/2012 6:00:00 AM,1/1/2012 1:00:00 AM,1/1/2012 7:00:00 AM,1/1/2012 2:00:00 AM,AEP,13662
1/1/2012 7:00:00 AM,1/1/2012 2:00:00 AM,1/1/2012 8:00:00 AM,1/1/2012 3:00:00 AM,AEP,13517
1/1/2012 8:00:00 AM,1/1/2012 3:00:00 AM,1/1/2012 9:00:00 AM,1/1/2012 4:00:00 AM,AEP,13465
1/1/2012 9:00:00 AM,1/1/2012 4:00:00 AM,1/1/2012 10:00:00 AM,1/1/2012 5:00:00 AM,AEP,13561
1/1/2012 10:00:00 AM,1/1/2012 5:00:00 AM,1/1/2012 11:00:00 AM,1/1/2012 6:00:00 AM,AEP,13623
1/1/2012 11:00:00 AM,1/1/2012 6:00:00 AM,1/1/2012 12:00:00 PM,1/1/2012 7:00:00 AM,AEP,13806
1/1/2012 12:00:00 PM,1/1/2012 7:00:00 AM,1/1/2012 1:00:00 PM,1/1/2012 8:00:00 AM,AEP,13981
1/1/2012 1:00:00 PM,1/1/2012 8:00:00 AM,1/1/2012 2:00:00 PM,1/1/2012 9:00:00 AM,AEP,14208
1/1/2012 2:00:00 PM,1/1/2012 9:00:00 AM,1/1/2012 3:00:00 PM,1/1/2012 10:00:00 AM,AEP,14304
1/1/2012 3:00:00 PM,1/1/2012 10:00:00 AM,1/1/2012 4:00:00 PM,1/1/2012 11:00:00 AM,AEP,14155
1/1/2012 4:00:00 PM,1/1/2012 11:00:00 AM,1/1/2012 5:00:00 PM,1/1/2012 12:00:00 PM,AEP,14183
1/1/2012 5:00:00 PM,1/1/2012 12:00:00 PM,1/1/2012 6:00:00 PM,1/1/2012 1:00:00 PM,AEP,14193
1/1/2012 6:00:00 PM,1/1/2012 1:00:00 PM,1/1/2012 7:00:00 PM,1/1/2012 2:00:00 PM,AEP,14142
1/1/2012 7:00:00 PM,1/1/2012 2:00:00 PM,1/1/2012 8:00:00 PM,1/1/2012 3:00:00 PM,AEP,14016
