datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2007 5:00:00 AM,1/1/2007 12:00:00 AM,1/1/2007 6:00:00 AM,1/1/2007 1:00:00 AM,AEP,12320
1/1/2007 6:00:00 AM,1/1/2007 1:00:00 AM,1/1/2007 7:00:00 AM,1/1/2007 2:00:00 AM,AEP,11937
1/1/2007 7:00:00 AM,1/1/2007 2:00:00 AM,1/1/2007 8:00:00 AM,1/1/2007 3:00:00 AM,AEP,11552
1/1/2007 8:00:00 AM,1/1/2007 3:00:00 AM,1/1/2007 9:00:00 AM,1/1/2007 4:00:00 AM,AEP,11418
1/1/2007 9:00:00 AM,1/1/2007 4:00:00 AM,1/1/2007 10:00:00 AM,1/1/2007 5:00:00 AM,AEP,11431
1/1/2007 10:00:00 AM,1/1/2007 5:00:00 AM,1/1/2007 11:00:00 AM,1/1/2007 6:00:00 AM,AEP,11666
1/1/2007 11:00:00 AM,1/1/2007 6:00:00 AM,1/1/2007 12:00:00 PM,1/1/2007 7:00:00 AM,AEP,11990
1/1/2007 12:00:00 PM,1/1/2007 7:00:00 AM,1/1/2007 1:00:00 PM,1/1/2007 8:00:00 AM,AEP,12486
1/1/2007 1:00:00 PM,1/1/2007 8:00:00 AM,1/1/2007 2:00:00 PM,1/1/2007 9:00:00 AM,AEP,12899
1/1/2007 2:00:00 PM,1/1/2007 9:00:00 AM,1/1/2007 3:00:00 PM,1/1/2007 10:00:00 AM,AEP,13536
1/1/2007 3:00:00 PM,1/1/2007 10:00:00 AM,1/1/2007 4:00:00 PM,1/1/2007 11:00:00 AM,AEP,14060
1/1/2007 4:00:00 PM,1/1/2007 11:00:00 AM,1/1/2007 5:00:00 PM,1/1/2007 12:00:00 PM,AEP,14441
1/1/2007 5:00:00 PM,1/1/2007 12:00:00 PM,1/1/2007 6:00:00 PM,1/1/2007 1:00:00 PM,AEP,14587
1/1/2007 6:00:00 PM,1/1/2007 1:00:00 PM,1/1/2007 7:00:00 PM,1/1/2007 2:00:00 PM,AEP,14569
1/1/2007 7:00:00 PM,1/1/2007 2:00:00 PM,1/1/2007 8:00:00 PM,1/1/2007 3:00:00 PM,AEP,14552
1/1/2007 8:00:00 PM,1/1/2007 3:00:00 PM,1/1/2007 9:00:00 PM,1/1/2007 4:00:00 PM,AEP,14663
1/1/2007 9:00:00 PM,1/1/2007 4:00:00 PM,1/1/2007 10:00:00 PM,1/1/2007 5:00:00 PM,AEP,15009
1/1/2007 10:00:00 PM,1/1/2007 5:00:00 PM,1/1/2007 11:00:00 PM,1/1/2007 6:00:00 PM,AEP,15982
1/1/2007 11:00:00 PM,1/1/2007 6:00:00 PM,1/2/2007 12:00:00 AM,1/1/2007 7:00:00 PM,AEP,16293
1/2/2007 12:00:00 AM,1/1/2007 7:00:00 PM,1/2/2007 1:00:00 AM,1/1/2007 8:00:00 PM,AEP,16263
1/2/2007 1:00:00 AM,1/1/2007 8:00:00 PM,1/2/2007 2:00:00 AM,1/1/2007 9:00:00 PM,AEP,16204
1/2/2007 2:00:00 AM,1/1/2007 9:00:00 PM,1/2/2007 3:00:00 AM,1/1/2007 10:00:00 PM,AEP,15848
1/2/2007 3:00:00 AM,1/1/2007 10:00:00 PM,1/2/2007 4:00:00 AM,1/1/2007 11:00:00 PM,AEP,15243
1/2/2007 4:00:00 AM,1/1/2007 11:00:00 PM,1/2/2007 5:00:00 AM,1/2/2007 12:00:00 AM,AEP,14487
1/2/2007 5:00:00 AM,1/2/2007 12:00:00 AM,1/2/2007 6:00:00 AM,1/2/2007 1:00:00 AM,AEP,13889
1/2/2007 6:00:00 AM,1/2/2007 1:00:00 AM,1/2/2007 7:00:00 AM,1/2/2007 2:00:00 AM,AEP,13590
1/2/2007 7:00:00 AM,1/2/2007 2:00:00 AM,1/2/2007 8:00:00 AM,1/2/2007 3:00:00 AM,AEP,13478
1/2/2007 8:00:00 AM,1/2/2007 3:00:00 AM,1/2/2007 9:00:00 AM,1/2/2007 4:00:00 AM,AEP,13524
1/2/2007 9:00:00 AM,1/2/2007 4:00:00 AM,1/2/2007 10:00:00 AM,1/2/2007 5:00:00 AM,AEP,13860
1/2/2007 10:00:00 AM,1/2/2007 5:00:00 AM,1/2/2007 11:00:00 AM,1/2/2007 6:00:00 AM,AEP,14803
1/2/2007 11:00:00 AM,1/2/2007 6:00:00 AM,1/2/2007 12:00:00 PM,1/2/2007 7:00:00 AM,AEP,16385
1/2/2007 12:00:00 PM,1/2/2007 7:00:00 AM,1/2/2007 1:00:00 PM,1/2/2007 8:00:00 AM,AEP,17439
1/2/2007 1:00:00 PM,1/2/2007 8:00:00 AM,1/2/2007 2:00:00 PM,1/2/2007 9:00:00 AM,AEP,17564
1/2/2007 2:00:00 PM,1/2/2007 9:00:00 AM,1/2/2007 3:00:00 PM,1/2/2007 10:00:00 AM,AEP,17524
1/2/2007 3:00:00 PM,1/2/2007 10:00:00 AM,1/2/2007 4:00:00 PM,1/2/2007 11:00:00 AM,AEP,17516
1/2/2007 4:00:00 PM,1/2/2007 11:00:00 AM,1/2/2007 5:00:00 PM,1/2/2007 12:00:00 PM,AEP,17205
1/2/2007 5:00:00 PM,1/2/2007 12:00:00 PM,1/2/2007 6:00:00 PM,1/2/2007 1:00:00 PM,AEP,16876
1/2/2007 6:00:00 PM,1/2/2007 1:00:00 PM,1/2/2007 7:00:00 PM,1/2/2007 2:00:00 PM,AEP,16510
1/2/2007 7:00:00 PM,1/2/2007 2:00:00 PM,1/2/2007 8:00:00 PM,1/2/2007 3:00:00 PM,AEP,16251
1/2/2007 8:00:00 PM,1/2/2007 3:00:00 PM,1/2/2007 9:00:00 PM,1/2/2007 4:00:00 PM,AEP,15971
1/2/2007 9:00:00 PM,1/2/2007 4:00:00 PM,1/2/2007 10:00:00 PM,1/2/2007 5:00:00 PM,AEP,16260
1/2/2007 10:00:00 PM,1/2/2007 5:00:00 PM,1/2/2007 11:00:00 PM,1/2/2007 6:00:00 PM,AEP,17494
1/2/2007 11:00:00 PM,1/2/2007 6:00:00 PM,1/3/2007 12:00:00 AM,1/2/2007 7:00:00 PM,AEP,18344
1/3/2007 12:00:00 AM,1/2/2007 7:00:00 PM,1/3/2007 1:00:00 AM,1/2/2007 8:00:00 PM,AEP,18585
1/3/2007 1:00:00 AM,1/2/2007 8:00:00 PM,1/3/2007 2:00:00 AM,1/2/2007 9:00:00 PM,AEP,18600
1/3/2007 2:00:00 AM,1/2/2007 9:00:00 PM,1/3/2007 3:00:00 AM,1/2/2007 10:00:00 PM,AEP,18337
1/3/2007 3:00:00 AM,1/2/2007 10:00:00 PM,1/3/2007 4:00:00 AM,1/2/2007 11:00:00 PM,AEP,17462
1/3/2007 4:00:00 AM,1/2/2007 11:00:00 PM,1/3/2007 5:00:00 AM,1/3/2007 12:00:00 AM,AEP,16660
1/3/2007 5:00:00 AM,1/3/2007 12:00:00 AM,1/3/2007 6:00:00 AM,1/3/2007 1:00:00 AM,AEP,15920
1/3/2007 6:00:00 AM,1/3/2007 1:00:00 AM,1/3/2007 7:00:00 AM,1/3/2007 2:00:00 AM,AEP,15653
1/3/2007 7:00:00 AM,1/3/2007 2:00:00 AM,1/3/2007 8:00:00 AM,1/3/2007 3:00:00 AM,AEP,15620
1/3/2007 8:00:00 AM,1/3/2007 3:00:00 AM,1/3/2007 9:00:00 AM,1/3/2007 4:00:00 AM,AEP,15600
1/3/2007 9:00:00 AM,1/3/2007 4:00:00 AM,1/3/2007 10:00:00 AM,1/3/2007 5:00:00 AM,AEP,15996
1/3/2007 10:00:00 AM,1/3/2007 5:00:00 AM,1/3/2007 11:00:00 AM,1/3/2007 6:00:00 AM,AEP,16995
1/3/2007 11:00:00 AM,1/3/2007 6:00:00 AM,1/3/2007 12:00:00 PM,1/3/2007 7:00:00 AM,AEP,18571
1/3/2007 12:00:00 PM,1/3/2007 7:00:00 AM,1/3/2007 1:00:00 PM,1/3/2007 8:00:00 AM,AEP,19655
1/3/2007 1:00:00 PM,1/3/2007 8:00:00 AM,1/3/2007 2:00:00 PM,1/3/2007 9:00:00 AM,AEP,19424
1/3/2007 2:00:00 PM,1/3/2007 9:00:00 AM,1/3/2007 3:00:00 PM,1/3/2007 10:00:00 AM,AEP,18925
1/3/2007 3:00:00 PM,1/3/2007 10:00:00 AM,1/3/2007 4:00:00 PM,1/3/2007 11:00:00 AM,AEP,18201
1/3/2007 4:00:00 PM,1/3/2007 11:00:00 AM,1/3/2007 5:00:00 PM,1/3/2007 12:00:00 PM,AEP,17642
1/3/2007 5:00:00 PM,1/3/2007 12:00:00 PM,1/3/2007 6:00:00 PM,1/3/2007 1:00:00 PM,AEP,17071
1/3/2007 6:00:00 PM,1/3/2007 1:00:00 PM,1/3/2007 7:00:00 PM,1/3/2007 2:00:00 PM,AEP,16701
1/3/2007 7:00:00 PM,1/3/2007 2:00:00 PM,1/3/2007 8:00:00 PM,1/3/2007 3:00:00 PM,AEP,16211
1/3/2007 8:00:00 PM,1/3/2007 3:00:00 PM,1/3/2007 9:00:00 PM,1/3/2007 4:00:00 PM,AEP,15875
1/3/2007 9:00:00 PM,1/3/2007 4:00:00 PM,1/3/2007 10:00:00 PM,1/3/2007 5:00:00 PM,AEP,16040
1/3/2007 10:00:00 PM,1/3/2007 5:00:00 PM,1/3/2007 11:00:00 PM,1/3/2007 6:00:00 PM,AEP,17123
1/3/2007 11:00:00 PM,1/3/2007 6:00:00 PM,1/4/2007 12:00:00 AM,1/3/2007 7:00:00 PM,AEP,18112
1/4/2007 12:00:00 AM,1/3/2007 7:00:00 PM,1/4/2007 1:00:00 AM,1/3/2007 8:00:00 PM,AEP,18256
1/4/2007 1:00:00 AM,1/3/2007 8:00:00 PM,1/4/2007 2:00:00 AM,1/3/2007 9:00:00 PM,AEP,18279
1/4/2007 2:00:00 AM,1/3/2007 9:00:00 PM,1/4/2007 3:00:00 AM,1/3/2007 10:00:00 PM,AEP,17995
1/4/2007 3:00:00 AM,1/3/2007 10:00:00 PM,1/4/2007 4:00:00 AM,1/3/2007 11:00:00 PM,AEP,17134
1/4/2007 4:00:00 AM,1/3/2007 11:00:00 PM,1/4/2007 5:00:00 AM,1/4/2007 12:00:00 AM,AEP,16114
1/4/2007 5:00:00 AM,1/4/2007 12:00:00 AM,1/4/2007 6:00:00 AM,1/4/2007 1:00:00 AM,AEP,15415
1/4/2007 6:00:00 AM,1/4/2007 1:00:00 AM,1/4/2007 7:00:00 AM,1/4/2007 2:00:00 AM,AEP,15047
1/4/2007 7:00:00 AM,1/4/2007 2:00:00 AM,1/4/2007 8:00:00 AM,1/4/2007 3:00:00 AM,AEP,14884
1/4/2007 8:00:00 AM,1/4/2007 3:00:00 AM,1/4/2007 9:00:00 AM,1/4/2007 4:00:00 AM,AEP,14880
1/4/2007 9:00:00 AM,1/4/2007 4:00:00 AM,1/4/2007 10:00:00 AM,1/4/2007 5:00:00 AM,AEP,15219
1/4/2007 10:00:00 AM,1/4/2007 5:00:00 AM,1/4/2007 11:00:00 AM,1/4/2007 6:00:00 AM,AEP,16155
1/4/2007 11:00:00 AM,1/4/2007 6:00:00 AM,1/4/2007 12:00:00 PM,1/4/2007 7:00:00 AM,AEP,17829
1/4/2007 12:00:00 PM,1/4/2007 7:00:00 AM,1/4/2007 1:00:00 PM,1/4/2007 8:00:00 AM,AEP,18851
1/4/2007 1:00:00 PM,1/4/2007 8:00:00 AM,1/4/2007 2:00:00 PM,1/4/2007 9:00:00 AM,AEP,18658
1/4/2007 2:00:00 PM,1/4/2007 9:00:00 AM,1/4/2007 3:00:00 PM,1/4/2007 10:00:00 AM,AEP,18133
1/4/2007 3:00:00 PM,1/4/2007 10:00:00 AM,1/4/2007 4:00:00 PM,1/4/2007 11:00:00 AM,AEP,17688
1/4/2007 4:00:00 PM,1/4/2007 11:00:00 AM,1/4/2007 5:00:00 PM,1/4/2007 12:00:00 PM,AEP,17134
1/4/2007 5:00:00 PM,1/4/2007 12:00:00 PM,1/4/2007 6:00:00 PM,1/4/2007 1:00:00 PM,AEP,16806
1/4/2007 6:00:00 PM,1/4/2007 1:00:00 PM,1/4/2007 7:00:00 PM,1/4/2007 2:00:00 PM,AEP,16596
1/4/2007 7:00:00 PM,1/4/2007 2:00:00 PM,1/4/2007 8:00:00 PM,1/4/2007 3:00:00 PM,AEP,16311
1/4/2007 8:00:00 PM,1/4/2007 3:00:00 PM,1/4/2007 9:00:00 PM,1/4/2007 4:00:00 PM,AEP,16121
1/4/2007 9:00:00 PM,1/4/2007 4:00:00 PM,1/4/2007 10:00:00 PM,1/4/2007 5:00:00 PM,AEP,16376
1/4/2007 10:00:00 PM,1/4/2007 5:00:00 PM,1/4/2007 11:00:00 PM,1/4/2007 6:00:00 PM,AEP,17272
1/4/2007 11:00:00 PM,1/4/2007 6:00:00 PM,1/5/2007 12:00:00 AM,1/4/2007 7:00:00 PM,AEP,17686
1/5/2007 12:00:00 AM,1/4/2007 7:00:00 PM,1/5/2007 1:00:00 AM,1/4/2007 8:00:00 PM,AEP,17539
1/5/2007 1:00:00 AM,1/4/2007 8:00:00 PM,1/5/2007 2:00:00 AM,1/4/2007 9:00:00 PM,AEP,17324
1/5/2007 2:00:00 AM,1/4/2007 9:00:00 PM,1/5/2007 3:00:00 AM,1/4/2007 10:00:00 PM,AEP,16875
1/5/2007 3:00:00 AM,1/4/2007 10:00:00 PM,1/5/2007 4:00:00 AM,1/4/2007 11:00:00 PM,AEP,15778
1/5/2007 4:00:00 AM,1/4/2007 11:00:00 PM,1/5/2007 5:00:00 AM,1/5/2007 12:00:00 AM,AEP,14787
1/5/2007 5:00:00 AM,1/5/2007 12:00:00 AM,1/5/2007 6:00:00 AM,1/5/2007 1:00:00 AM,AEP,13960
1/5/2007 6:00:00 AM,1/5/2007 1:00:00 AM,1/5/2007 7:00:00 AM,1/5/2007 2:00:00 AM,AEP,13383
1/5/2007 7:00:00 AM,1/5/2007 2:00:00 AM,1/5/2007 8:00:00 AM,1/5/2007 3:00:00 AM,AEP,13093
1/5/2007 8:00:00 AM,1/5/2007 3:00:00 AM,1/5/2007 9:00:00 AM,1/5/2007 4:00:00 AM,AEP,13060
1/5/2007 9:00:00 AM,1/5/2007 4:00:00 AM,1/5/2007 10:00:00 AM,1/5/2007 5:00:00 AM,AEP,13269
1/5/2007 10:00:00 AM,1/5/2007 5:00:00 AM,1/5/2007 11:00:00 AM,1/5/2007 6:00:00 AM,AEP,14044
