datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,AEP,12876
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,AEP,12591
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,AEP,12487
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,AEP,12369
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,AEP,12490
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,AEP,12646
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,AEP,12936
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,AEP,13310
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,AEP,13594
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,AEP,13644
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,AEP,13346
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,AEP,13054
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,AEP,12922
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,AEP,12748
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,AEP,12488
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,AEP,12343
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,AEP,12712
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,AEP,13611
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,AEP,13997
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,AEP,13962
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,AEP,13770
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,AEP,13508
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,AEP,13102
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,AEP,12618
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,AEP,12140
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,AEP,11861
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,AEP,11844
1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,1/2/2017 9:00:00 AM,1/2/2017 4:00:00 AM,AEP,11797
1/2/2017 9:00:00 AM,1/2/2017 4:00:00 AM,1/2/2017 10:00:00 AM,1/2/2017 5:00:00 AM,AEP,11903
1/2/2017 10:00:00 AM,1/2/2017 5:00:00 AM,1/2/2017 11:00:00 AM,1/2/2017 6:00:00 AM,AEP,12259
1/2/2017 11:00:00 AM,1/2/2017 6:00:00 AM,1/2/2017 12:00:00 PM,1/2/2017 7:00:00 AM,AEP,12752
1/2/2017 12:00:00 PM,1/2/2017 7:00:00 AM,1/2/2017 1:00:00 PM,1/2/2017 8:00:00 AM,AEP,13338
1/2/2017 1:00:00 PM,1/2/2017 8:00:00 AM,1/2/2017 2:00:00 PM,1/2/2017 9:00:00 AM,AEP,13571
1/2/2017 2:00:00 PM,1/2/2017 9:00:00 AM,1/2/2017 3:00:00 PM,1/2/2017 10:00:00 AM,AEP,13972
1/2/2017 3:00:00 PM,1/2/2017 10:00:00 AM,1/2/2017 4:00:00 PM,1/2/2017 11:00:00 AM,AEP,14296
1/2/2017 4:00:00 PM,1/2/2017 11:00:00 AM,1/2/2017 5:00:00 PM,1/2/2017 12:00:00 PM,AEP,14319
1/2/2017 5:00:00 PM,1/2/2017 12:00:00 PM,1/2/2017 6:00:00 PM,1/2/2017 1:00:00 PM,AEP,14197
1/2/2017 6:00:00 PM,1/2/2017 1:00:00 PM,1/2/2017 7:00:00 PM,1/2/2017 2:00:00 PM,AEP,14010
1/2/2017 7:00:00 PM,1/2/2017 2:00:00 PM,1/2/2017 8:00:00 PM,1/2/2017 3:00:00 PM,AEP,13888
1/2/2017 8:00:00 PM,1/2/2017 3:00:00 PM,1/2/2017 9:00:00 PM,1/2/2017 4:00:00 PM,AEP,13821
1/2/2017 9:00:00 PM,1/2/2017 4:00:00 PM,1/2/2017 10:00:00 PM,1/2/2017 5:00:00 PM,AEP,14038
1/2/2017 10:00:00 PM,1/2/2017 5:00:00 PM,1/2/2017 11:00:00 PM,1/2/2017 6:00:00 PM,AEP,14761
1/2/2017 11:00:00 PM,1/2/2017 6:00:00 PM,1/3/2017 12:00:00 AM,1/2/2017 7:00:00 PM,AEP,14995
1/3/2017 12:00:00 AM,1/2/2017 7:00:00 PM,1/3/2017 1:00:00 AM,1/2/2017 8:00:00 PM,AEP,14832
1/3/2017 1:00:00 AM,1/2/2017 8:00:00 PM,1/3/2017 2:00:00 AM,1/2/2017 9:00:00 PM,AEP,14621
1/3/2017 2:00:00 AM,1/2/2017 9:00:00 PM,1/3/2017 3:00:00 AM,1/2/2017 10:00:00 PM,AEP,14153
1/3/2017 3:00:00 AM,1/2/2017 10:00:00 PM,1/3/2017 4:00:00 AM,1/2/2017 11:00:00 PM,AEP,13500
1/3/2017 4:00:00 AM,1/2/2017 11:00:00 PM,1/3/2017 5:00:00 AM,1/3/2017 12:00:00 AM,AEP,12841
1/3/2017 5:00:00 AM,1/3/2017 12:00:00 AM,1/3/2017 6:00:00 AM,1/3/2017 1:00:00 AM,AEP,12470
1/3/2017 6:00:00 AM,1/3/2017 1:00:00 AM,1/3/2017 7:00:00 AM,1/3/2017 2:00:00 AM,AEP,12150
1/3/2017 7:00:00 AM,1/3/2017 2:00:00 AM,1/3/2017 8:00:00 AM,1/3/2017 3:00:00 AM,AEP,12172
1/3/2017 8:00:00 AM,1/3/2017 3:00:00 AM,1/3/2017 9:00:00 AM,1/3/2017 4:00:00 AM,AEP,12343
1/3/2017 9:00:00 AM,1/3/2017 4:00:00 AM,1/3/2017 10:00:00 AM,1/3/2017 5:00:00 AM,AEP,12648
1/3/2017 10:00:00 AM,1/3/2017 5:00:00 AM,1/3/2017 11:00:00 AM,1/3/2017 6:00:00 AM,AEP,13270
1/3/2017 11:00:00 AM,1/3/2017 6:00:00 AM,1/3/2017 12:00:00 PM,1/3/2017 7:00:00 AM,AEP,14484
1/3/2017 12:00:00 PM,1/3/2017 7:00:00 AM,1/3/2017 1:00:00 PM,1/3/2017 8:00:00 AM,AEP,15228
1/3/2017 1:00:00 PM,1/3/2017 8:00:00 AM,1/3/2017 2:00:00 PM,1/3/2017 9:00:00 AM,AEP,15286
1/3/2017 2:00:00 PM,1/3/2017 9:00:00 AM,1/3/2017 3:00:00 PM,1/3/2017 10:00:00 AM,AEP,15289
1/3/2017 3:00:00 PM,1/3/2017 10:00:00 AM,1/3/2017 4:00:00 PM,1/3/2017 11:00:00 AM,AEP,15357
1/3/2017 4:00:00 PM,1/3/2017 11:00:00 AM,1/3/2017 5:00:00 PM,1/3/2017 12:00:00 PM,AEP,15252
1/3/2017 5:00:00 PM,1/3/2017 12:00:00 PM,1/3/2017 6:00:00 PM,1/3/2017 1:00:00 PM,AEP,15217
1/3/2017 6:00:00 PM,1/3/2017 1:00:00 PM,1/3/2017 7:00:00 PM,1/3/2017 2:00:00 PM,AEP,15279
