datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,AEP,13135
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,AEP,12912
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,AEP,12685
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,AEP,12631
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,AEP,12667
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,AEP,12937
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,AEP,13297
1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,AEP,13635
1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,AEP,13828
1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,AEP,14232
1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,AEP,14528
1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,AEP,14626
1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,AEP,14568
1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,AEP,14284
1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,AEP,14106
1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,AEP,14064
1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,1/1/2016 10:00:00 PM,1/1/2016 5:00:00 PM,AEP,14350
1/1/2016 10:00:00 PM,1/1/2016 5:00:00 PM,1/1/2016 11:00:00 PM,1/1/2016 6:00:00 PM,AEP,15307
1/1/2016 11:00:00 PM,1/1/2016 6:00:00 PM,1/2/2016 12:00:00 AM,1/1/2016 7:00:00 PM,AEP,15594
1/2/2016 12:00:00 AM,1/1/2016 7:00:00 PM,1/2/2016 1:00:00 AM,1/1/2016 8:00:00 PM,AEP,15595
1/2/2016 1:00:00 AM,1/1/2016 8:00:00 PM,1/2/2016 2:00:00 AM,1/1/2016 9:00:00 PM,AEP,15473
1/2/2016 2:00:00 AM,1/1/2016 9:00:00 PM,1/2/2016 3:00:00 AM,1/1/2016 10:00:00 PM,AEP,15280
1/2/2016 3:00:00 AM,1/1/2016 10:00:00 PM,1/2/2016 4:00:00 AM,1/1/2016 11:00:00 PM,AEP,14833
1/2/2016 4:00:00 AM,1/1/2016 11:00:00 PM,1/2/2016 5:00:00 AM,1/2/2016 12:00:00 AM,AEP,14338
1/2/2016 5:00:00 AM,1/2/2016 12:00:00 AM,1/2/2016 6:00:00 AM,1/2/2016 1:00:00 AM,AEP,13966
1/2/2016 6:00:00 AM,1/2/2016 1:00:00 AM,1/2/2016 7:00:00 AM,1/2/2016 2:00:00 AM,AEP,13751
1/2/2016 7:00:00 AM,1/2/2016 2:00:00 AM,1/2/2016 8:00:00 AM,1/2/2016 3:00:00 AM,AEP,13642
1/2/2016 8:00:00 AM,1/2/2016 3:00:00 AM,1/2/2016 9:00:00 AM,1/2/2016 4:00:00 AM,AEP,13668
1/2/2016 9:00:00 AM,1/2/2016 4:00:00 AM,1/2/2016 10:00:00 AM,1/2/2016 5:00:00 AM,AEP,13784
1/2/2016 10:00:00 AM,1/2/2016 5:00:00 AM,1/2/2016 11:00:00 AM,1/2/2016 6:00:00 AM,AEP,14098
1/2/2016 11:00:00 AM,1/2/2016 6:00:00 AM,1/2/2016 12:00:00 PM,1/2/2016 7:00:00 AM,AEP,14534
1/2/2016 12:00:00 PM,1/2/2016 7:00:00 AM,1/2/2016 1:00:00 PM,1/2/2016 8:00:00 AM,AEP,15058
1/2/2016 1:00:00 PM,1/2/2016 8:00:00 AM,1/2/2016 2:00:00 PM,1/2/2016 9:00:00 AM,AEP,15310
1/2/2016 2:00:00 PM,1/2/2016 9:00:00 AM,1/2/2016 3:00:00 PM,1/2/2016 10:00:00 AM,AEP,15265
1/2/2016 3:00:00 PM,1/2/2016 10:00:00 AM,1/2/2016 4:00:00 PM,1/2/2016 11:00:00 AM,AEP,15102
1/2/2016 4:00:00 PM,1/2/2016 11:00:00 AM,1/2/2016 5:00:00 PM,1/2/2016 12:00:00 PM,AEP,14779
1/2/2016 5:00:00 PM,1/2/2016 12:00:00 PM,1/2/2016 6:00:00 PM,1/2/2016 1:00:00 PM,AEP,14364
1/2/2016 6:00:00 PM,1/2/2016 1:00:00 PM,1/2/2016 7:00:00 PM,1/2/2016 2:00:00 PM,AEP,13956
1/2/2016 7:00:00 PM,1/2/2016 2:00:00 PM,1/2/2016 8:00:00 PM,1/2/2016 3:00:00 PM,AEP,13561
1/2/2016 8:00:00 PM,1/2/2016 3:00:00 PM,1/2/2016 9:00:00 PM,1/2/2016 4:00:00 PM,AEP,13501
1/2/2016 9:00:00 PM,1/2/2016 4:00:00 PM,1/2/2016 10:00:00 PM,1/2/2016 5:00:00 PM,AEP,13711
1/2/2016 10:00:00 PM,1/2/2016 5:00:00 PM,1/2/2016 11:00:00 PM,1/2/2016 6:00:00 PM,AEP,14741
1/2/2016 11:00:00 PM,1/2/2016 6:00:00 PM,1/3/2016 12:00:00 AM,1/2/2016 7:00:00 PM,AEP,15383
1/3/2016 12:00:00 AM,1/2/2016 7:00:00 PM,1/3/2016 1:00:00 AM,1/2/2016 8:00:00 PM,AEP,15481
1/3/2016 1:00:00 AM,1/2/2016 8:00:00 PM,1/3/2016 2:00:00 AM,1/2/2016 9:00:00 PM,AEP,15420
1/3/2016 2:00:00 AM,1/2/2016 9:00:00 PM,1/3/2016 3:00:00 AM,1/2/2016 10:00:00 PM,AEP,15284
1/3/2016 3:00:00 AM,1/2/2016 10:00:00 PM,1/3/2016 4:00:00 AM,1/2/2016 11:00:00 PM,AEP,14921
1/3/2016 4:00:00 AM,1/2/2016 11:00:00 PM,1/3/2016 5:00:00 AM,1/3/2016 12:00:00 AM,AEP,14450
1/3/2016 5:00:00 AM,1/3/2016 12:00:00 AM,1/3/2016 6:00:00 AM,1/3/2016 1:00:00 AM,AEP,14075
