datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2005 5:00:00 AM,1/1/2005 12:00:00 AM,1/1/2005 6:00:00 AM,1/1/2005 1:00:00 AM,AEP,12316
1/1/2005 6:00:00 AM,1/1/2005 1:00:00 AM,1/1/2005 7:00:00 AM,1/1/2005 2:00:00 AM,AEP,11890
1/1/2005 7:00:00 AM,1/1/2005 2:00:00 AM,1/1/2005 8:00:00 AM,1/1/2005 3:00:00 AM,AEP,11579
1/1/2005 8:00:00 AM,1/1/2005 3:00:00 AM,1/1/2005 9:00:00 AM,1/1/2005 4:00:00 AM,AEP,11461
1/1/2005 9:00:00 AM,1/1/2005 4:00:00 AM,1/1/2005 10:00:00 AM,1/1/2005 5:00:00 AM,AEP,11472
1/1/2005 10:00:00 AM,1/1/2005 5:00:00 AM,1/1/2005 11:00:00 AM,1/1/2005 6:00:00 AM,AEP,11571
1/1/2005 11:00:00 AM,1/1/2005 6:00:00 AM,1/1/2005 12:00:00 PM,1/1/2005 7:00:00 AM,AEP,11898
1/1/2005 12:00:00 PM,1/1/2005 7:00:00 AM,1/1/2005 1:00:00 PM,1/1/2005 8:00:00 AM,AEP,12209
1/1/2005 1:00:00 PM,1/1/2005 8:00:00 AM,1/1/2005 2:00:00 PM,1/1/2005 9:00:00 AM,AEP,12396
1/1/2005 2:00:00 PM,1/1/2005 9:00:00 AM,1/1/2005 3:00:00 PM,1/1/2005 10:00:00 AM,AEP,12997
1/1/2005 3:00:00 PM,1/1/2005 10:00:00 AM,1/1/2005 4:00:00 PM,1/1/2005 11:00:00 AM,AEP,13455
1/1/2005 4:00:00 PM,1/1/2005 11:00:00 AM,1/1/2005 5:00:00 PM,1/1/2005 12:00:00 PM,AEP,13617
1/1/2005 5:00:00 PM,1/1/2005 12:00:00 PM,1/1/2005 6:00:00 PM,1/1/2005 1:00:00 PM,AEP,13665
1/1/2005 6:00:00 PM,1/1/2005 1:00:00 PM,1/1/2005 7:00:00 PM,1/1/2005 2:00:00 PM,AEP,13446
1/1/2005 7:00:00 PM,1/1/2005 2:00:00 PM,1/1/2005 8:00:00 PM,1/1/2005 3:00:00 PM,AEP,13340
1/1/2005 8:00:00 PM,1/1/2005 3:00:00 PM,1/1/2005 9:00:00 PM,1/1/2005 4:00:00 PM,AEP,13159
1/1/2005 9:00:00 PM,1/1/2005 4:00:00 PM,1/1/2005 10:00:00 PM,1/1/2005 5:00:00 PM,AEP,13449
1/1/2005 10:00:00 PM,1/1/2005 5:00:00 PM,1/1/2005 11:00:00 PM,1/1/2005 6:00:00 PM,AEP,14319
1/1/2005 11:00:00 PM,1/1/2005 6:00:00 PM,1/2/2005 12:00:00 AM,1/1/2005 7:00:00 PM,AEP,14536
1/2/2005 12:00:00 AM,1/1/2005 7:00:00 PM,1/2/2005 1:00:00 AM,1/1/2005 8:00:00 PM,AEP,14454
1/2/2005 1:00:00 AM,1/1/2005 8:00:00 PM,1/2/2005 2:00:00 AM,1/1/2005 9:00:00 PM,AEP,14248
1/2/2005 2:00:00 AM,1/1/2005 9:00:00 PM,1/2/2005 3:00:00 AM,1/1/2005 10:00:00 PM,AEP,13970
1/2/2005 3:00:00 AM,1/1/2005 10:00:00 PM,1/2/2005 4:00:00 AM,1/1/2005 11:00:00 PM,AEP,13558
1/2/2005 4:00:00 AM,1/1/2005 11:00:00 PM,1/2/2005 5:00:00 AM,1/2/2005 12:00:00 AM,AEP,12849
1/2/2005 5:00:00 AM,1/2/2005 12:00:00 AM,1/2/2005 6:00:00 AM,1/2/2005 1:00:00 AM,AEP,12291
1/2/2005 6:00:00 AM,1/2/2005 1:00:00 AM,1/2/2005 7:00:00 AM,1/2/2005 2:00:00 AM,AEP,11917
1/2/2005 7:00:00 AM,1/2/2005 2:00:00 AM,1/2/2005 8:00:00 AM,1/2/2005 3:00:00 AM,AEP,11681
1/2/2005 8:00:00 AM,1/2/2005 3:00:00 AM,1/2/2005 9:00:00 AM,1/2/2005 4:00:00 AM,AEP,11613
1/2/2005 9:00:00 AM,1/2/2005 4:00:00 AM,1/2/2005 10:00:00 AM,1/2/2005 5:00:00 AM,AEP,11685
1/2/2005 10:00:00 AM,1/2/2005 5:00:00 AM,1/2/2005 11:00:00 AM,1/2/2005 6:00:00 AM,AEP,11936
1/2/2005 11:00:00 AM,1/2/2005 6:00:00 AM,1/2/2005 12:00:00 PM,1/2/2005 7:00:00 AM,AEP,12342
