datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2010 5:00:00 AM,1/1/2010 12:00:00 AM,1/1/2010 6:00:00 AM,1/1/2010 1:00:00 AM,AEP,14585
1/1/2010 6:00:00 AM,1/1/2010 1:00:00 AM,1/1/2010 7:00:00 AM,1/1/2010 2:00:00 AM,AEP,14272
1/1/2010 7:00:00 AM,1/1/2010 2:00:00 AM,1/1/2010 8:00:00 AM,1/1/2010 3:00:00 AM,AEP,14065
1/1/2010 8:00:00 AM,1/1/2010 3:00:00 AM,1/1/2010 9:00:00 AM,1/1/2010 4:00:00 AM,AEP,14047
1/1/2010 9:00:00 AM,1/1/2010 4:00:00 AM,1/1/2010 10:00:00 AM,1/1/2010 5:00:00 AM,AEP,14072
1/1/2010 10:00:00 AM,1/1/2010 5:00:00 AM,1/1/2010 11:00:00 AM,1/1/2010 6:00:00 AM,AEP,14447
1/1/2010 11:00:00 AM,1/1/2010 6:00:00 AM,1/1/2010 12:00:00 PM,1/1/2010 7:00:00 AM,AEP,14729
1/1/2010 12:00:00 PM,1/1/2010 7:00:00 AM,1/1/2010 1:00:00 PM,1/1/2010 8:00:00 AM,AEP,15337
1/1/2010 1:00:00 PM,1/1/2010 8:00:00 AM,1/1/2010 2:00:00 PM,1/1/2010 9:00:00 AM,AEP,15711
1/1/2010 2:00:00 PM,1/1/2010 9:00:00 AM,1/1/2010 3:00:00 PM,1/1/2010 10:00:00 AM,AEP,16269
1/1/2010 3:00:00 PM,1/1/2010 10:00:00 AM,1/1/2010 4:00:00 PM,1/1/2010 11:00:00 AM,AEP,16906
1/1/2010 4:00:00 PM,1/1/2010 11:00:00 AM,1/1/2010 5:00:00 PM,1/1/2010 12:00:00 PM,AEP,17120
1/1/2010 5:00:00 PM,1/1/2010 12:00:00 PM,1/1/2010 6:00:00 PM,1/1/2010 1:00:00 PM,AEP,17191
1/1/2010 6:00:00 PM,1/1/2010 1:00:00 PM,1/1/2010 7:00:00 PM,1/1/2010 2:00:00 PM,AEP,17085
1/1/2010 7:00:00 PM,1/1/2010 2:00:00 PM,1/1/2010 8:00:00 PM,1/1/2010 3:00:00 PM,AEP,17010
1/1/2010 8:00:00 PM,1/1/2010 3:00:00 PM,1/1/2010 9:00:00 PM,1/1/2010 4:00:00 PM,AEP,17044
1/1/2010 9:00:00 PM,1/1/2010 4:00:00 PM,1/1/2010 10:00:00 PM,1/1/2010 5:00:00 PM,AEP,17300
1/1/2010 10:00:00 PM,1/1/2010 5:00:00 PM,1/1/2010 11:00:00 PM,1/1/2010 6:00:00 PM,AEP,18287
1/1/2010 11:00:00 PM,1/1/2010 6:00:00 PM,1/2/2010 12:00:00 AM,1/1/2010 7:00:00 PM,AEP,18663
1/2/2010 12:00:00 AM,1/1/2010 7:00:00 PM,1/2/2010 1:00:00 AM,1/1/2010 8:00:00 PM,AEP,18590
1/2/2010 1:00:00 AM,1/1/2010 8:00:00 PM,1/2/2010 2:00:00 AM,1/1/2010 9:00:00 PM,AEP,18492
1/2/2010 2:00:00 AM,1/1/2010 9:00:00 PM,1/2/2010 3:00:00 AM,1/1/2010 10:00:00 PM,AEP,18466
1/2/2010 3:00:00 AM,1/1/2010 10:00:00 PM,1/2/2010 4:00:00 AM,1/1/2010 11:00:00 PM,AEP,18089
1/2/2010 4:00:00 AM,1/1/2010 11:00:00 PM,1/2/2010 5:00:00 AM,1/2/2010 12:00:00 AM,AEP,17568
1/2/2010 5:00:00 AM,1/2/2010 12:00:00 AM,1/2/2010 6:00:00 AM,1/2/2010 1:00:00 AM,AEP,17121
1/2/2010 6:00:00 AM,1/2/2010 1:00:00 AM,1/2/2010 7:00:00 AM,1/2/2010 2:00:00 AM,AEP,16822
